Soru/Kavram,Cevap/Açıklama
"Bir sözcüğün zihinde uyandırdığı ilk ve sözlükteki birinci anlamı ne olarak adlandırılır?","Gerçek (Temel) Anlam"
"""Elindeki bardağı düşürüp kırdı"" cümlesindeki ""kırdı"" sözcüğünün anlam özelliği nedir?","Gerçek (Temel) Anlam"
"Bir sözcüğün gerçek anlamından tamamen koparak cümle içinde kazandığı yeni anlama ne denir?","Mecaz Anlam"
"""Ekmeğimi bu kitaptan kazanacağım"" cümlesindeki ""ekmek"" sözcüğü hangi anlamda kullanılmıştır?","Mecaz Anlam (Kazanç anlamında)"
"Sözcüğün gerçek anlamından kopmadan, temel anlamla şekil veya görev yönüyle kurduğu bağa ne ad verilir?","Yan Anlam"
"""Masanın ayağı sallanıyor"" cümlesindeki ""ayağı"" sözcüğünün anlam türü nedir?","Yan Anlam"
"""Sobanın dirseği yerinden çıktı"" cümlesinde ""dirsek"" sözcüğünün yan anlam kazanmasını sağlayan temel benzerlik nedir?","Oval kısım olma şekil benzerliği"
"Bir sözcüğün sanat, bilim, spor veya meslek dallarıyla ilgili kazandığı özel anlama ne denir?","Terim Anlam"
"""Üçgen, cebir, topoloji"" kelimeleri hangi bilim dalına ait terim anlamlı sözcüklerdir?","Matematik"
"Edebiyat alanında ""redif, uyak, teşbih"" gibi sözcüklerin sahip olduğu anlam türü nedir?","Terim Anlam"
"Sözcüklerin yan anlam ile mecaz anlamını ayırt ederken somutluk-soyutluk açısından temel fark nedir?","Yan anlamlı sözcükler somutken mecaz anlamlı sözcükler soyuttur."
"""Bebeğin ateşi hiç düşmedi"" cümlesindeki ""ateş"" sözcüğü neden yan anlamlıdır?","Yüzün kızarması ve ısının artması gibi gerçek ateşle benzerlikler taşıdığı için."
"Sözcüklerin terim anlamlı olup olmadığını belirlerken dikkat edilmesi gereken en önemli husus nedir?","Sözcüğün cümlenin tamamı içindeki kullanım bağlamı."
"Yazılışları ve okunuşları farklı, anlamları aynı olan sözcük grubuna ne ad verilir?","Eş Anlamlı (Anlamdaş) Sözcükler"
"""Biçem"" sözcüğünün eş anlamlısı nedir?","Üslup"
"""Özgün"" sözcüğünün eş anlamlısı nedir?","Orijinal"
"Eş anlamlı sözcüklerin aynı cümlede birlikte kullanılması hangi anlatım kusuruna yol açar?","Gereksiz sözcük kullanımından kaynaklanan anlatım bozukluğu."
"Eş anlamlı gibi görünse de birbirlerinin yerini tamamen tutamayan ve aralarında nüans bulunan sözcükler hangileridir?","Yakın Anlamlı Sözcükler"
"""Küsmek"" ve ""darılmak"" sözcükleri arasındaki anlam ilişkisi nedir?","Yakın Anlam"
"Anlamca birbirinin zıddını ifade eden sözcüklere ne ad verilir?","Karşıt (Zıt) Anlamlı Sözcükler"
"Bir sözcüğün zıt anlamlısını belirlerken mutlaka neye dikkat edilmelidir?","Sözcüğün gerçek veya mecaz anlamda kullanılıp kullanılmadığına."
"""Ak akçe kara gün içindir"" atasözündeki ""kara"" sözcüğünün zıt anlamlısı bağlam gereği nedir?","İyi"
"Yazılışları aynı, anlamları tamamen farklı olan sözcük türü nedir?","Sesteş (Eş Sesli) Sözcükler"
"""Yar"" sözcüğünün sahip olduğu iki temel sesteş anlam nedir?","Sevgili ve uçurum."
"Beş duyu organımızdan en az biriyle algılayabildiğimiz varlıkları karşılayan sözcük türü nedir?","Somut Anlamlı Sözcükler"
"Beş duyu organımızla algılayamadığımız kavramları ifade eden sözcüklere ne denir?","Soyut Anlamlı Sözcükler"
"Somut anlamlı bir sözcüğe hangi yapım eki getirilerek soyut anlam kazandırılabilir?","-lık eki."
"""Annelik"" sözcüğü neden soyut bir anlam taşır?","Somut olan ""anne"" ismine -lık eki gelerek bir duyguyu/makamı ifade ettiği için."
"Sözcük anlattığı varlığın tamamını kapsıyorsa hangi anlam özelliğine sahiptir?","Genel Anlam"
"Sözcük anlattığı varlığın sadece belli bir kısmını ifade ediyorsa ne tür bir anlam taşır?","Özel Anlam"
"Varlıkların sayılamayan ve ölçülemeyen özelliklerini ifade eden sözcükler nasıldır?","Nitel Anlamlı"
"Varlıkların sayılabilen, ölçülebilen ve miktar bildiren özelliklerini karşılayan sözcüklere ne denir?","Nicel Anlamlı"
"""Uzun bir yoldan geliyoruz"" cümlesindeki ""uzun"" sözcüğü hangi anlam özelliğine sahiptir?","Nicel Anlam"
"Doğadaki seslerin taklit edilmesiyle oluşan sözcüklere ne ad verilir?","Yansıma Sözcükler"
"Neden ""ötüşmek"" sözcüğü yansıma bir sözcük değildir?","Kökü olan ""öt"" sesi doğada fiziksel bir ses olarak bulunmadığı için."
"Yansıma sözcüklerin temel sözcük türü nedir?","İsim"
